ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
SEMT,medium_airport,Eloy Alfaro International Airport,48,SA,EC,EC-M,Manta,SEMT,MEC,SEMT,,"-0.9460780024528503, -80.67880249023438"
SENL,small_airport,Nueva Loja Airport,980,SA,EC,EC-U,Lago Agrio,SENL,LGQ,SENL,,"0.0930560007691, -76.86750030520001"
SEPT,small_airport,Putumayo Airport,733,SA,EC,EC-U,Puerto Putumayo,SEPT,PYO,SEPT,,"0.115949, -75.85022"
SEPV,medium_airport,Reales Tamarindos Airport,130,SA,EC,EC-M,Portoviejo,SEPV,PVO,SEPV,,"-1.04165, -80.472198"
SEQM,large_airport,Mariscal Sucre International Airport,7841,SA,EC,EC-P,Quito,SEQM,UIO,SEQM,UIO,"-0.125399, -78.354306"
SERO,medium_airport,Santa Rosa - Artillery Colonel Victor Larrea International Airport,20,SA,EC,EC-O,Santa Rosa,SERO,ETR,SERO,,"-3.441986, -79.996957"
SESA,medium_airport,General Ulpiano Paez Airport,18,SA,EC,EC-25,Salinas,SESA,SNC,SESA,,"-2.210057, -80.985067"
SESC,small_airport,Suc?a Airport,3116,SA,EC,EC-S,Suc?a,SESC,SUQ,SESC,,"-2.474201, -78.169041"
SESM,small_airport,Rio Amazonas Airport,3465,SA,EC,EC-Y,Shell Mera,SESM,PTZ,SESM,,"-1.50524, -78.062698"
SEST,small_airport,San Crist?bal Airport,62,SA,EC,EC-W,Puerto Baquerizo Moreno,SEST,SCY,SEST,,"-0.910206, -89.617401"
SESV,small_airport,Los Perales Airport,10,SA,EC,EC-M,Bah?a de Caraquez,SESV,BHA,SESV,,"-0.608111, -80.402702"
SETH,small_airport,Taisha Airport,1669,SA,EC,EC-S,Taisha,SETH,TSC,SETH,,"-2.38167, -77.5028"
SETI,small_airport,Tiputini Airport,997,SA,EC,EC-D,Tiputini,SETI,TPN,SETI,,"-0.776111, -75.526398"
SETN,medium_airport,Carlos Concha Torres International Airport,32,SA,EC,EC-E,Tachina,SETN,ESM,SETN,,"0.978519, -79.626602"
SETR,medium_airport,Tarapoa Airport,814,SA,EC,EC-U,Tarapoa,SETR,TPC,SETR,,"-0.122956, -76.337799"
SETU,medium_airport,Lieutenant Colonel Luis A. Mantilla International Airport,9649,SA,EC,EC-C,Tulc?n,SETU,TUA,SETU,,"0.809506, -77.708099"
SFAL,medium_airport,Port Stanley Airport,75,SA,FK,FK-U-A,Stanley,SFAL,PSY,SFAL,,"-51.685699462891, -57.777599334717"
SGAS,large_airport,Silvio Pettirossi International Airport,292,SA,PY,PY-11,Asunci?n,SGAS,ASU,SGAS,,"-25.240156, -57.519227"
SGAY,medium_airport,Juan de Ayolas National Airport,223,SA,PY,PY-8,Ayolas,SGAY,AYO,SGAY,,"-27.378379, -56.856791"
SGBN,small_airport,Aer?dromo de Bah?a Negra,277,SA,PY,PY-16,Bah?a Negra,SGBN,BFA,SGBN,,"-20.2246, -58.179528"
SGCO,medium_airport,Lieutenant Colonel Carmelo Peralta National Airport,253,SA,PY,PY-1,Concepci?n,SGCO,CIO,SGCO,,"-23.440334, -57.429206"
SGEN,large_airport,Lieutenant Amin Ayub Gonz?lez International Airport,659,SA,PY,PY-7,Encarnaci?n,SGEN,ENO,SGEN,,"-27.227537, -55.837584"
SGES,large_airport,Guaran? International Airport,846,SA,PY,PY-10,Ciudad del Este,SGES,AGT,SGES,,"-25.457186, -54.839544"
SGFI,small_airport,Aer?dromo de Filadelfia,423,SA,PY,PY-19,Filadelfia,SGFI,FLM,SGFI,,"-22.354611, -60.053211"
SGME,large_airport,Doctor Luis Maria Arga?a International Airport,553,SA,PY,PY-19,Mariscal Estigarribia,SGME,ESG,SGME,,"-22.046499, -60.6217"
SGOL,small_airport,Fuerte Olimpo Airport,270,SA,PY,PY-16,Fuerte Olimpo,SGOL,OLK,SGOL,,"-21.045724, -57.882935"
SGPI,medium_airport,Aer?dromo Don Carlos Miguel Gimenez,249,SA,PY,PY-12,Pilar,SGPI,PIL,SGPI,,"-26.881981, -58.319067"
SGPJ,medium_airport,Dr. Augusto Roberto Fuster Airport,1873,SA,PY,PY-13,Pedro Juan Caballero,SGPJ,PJC,SGPJ,,"-22.641427, -55.829993"
SILC,small_airport,Municipal Bom Futuro Airport,1358,SA,BR,BR-MT,Lucas do Rio Verde,SILC,LVR,SILC,MT0025,"-13.037861, -55.95025"
SIMK,small_airport,Tenente Lund Pressoto Airport,3292,SA,BR,BR-SP,Franca,SIMK,FRC,SIMK,SP0011,"-20.592199, -47.3829"
SIZX,small_airport,In?cio Lu?s do Nascimento Airport,870,SA,BR,BR-MT,Juara,SIZX,JUA,SIZX,MT0018,"-11.2966, -57.5495"
SJNP,small_airport,Novo Progresso Airport,794,SA,BR,BR-PA,Novo Progresso,SJNP,NPR,SJNP,PA0026,"-7.125833, -55.400833"
SKAC,small_airport,Araracuara Airport,1250,SA,CO,CO-CAQ,Araracuara,SKAC,ACR,SKAC,ACR,"-0.600854, -72.398011"
SKAD,small_airport,Alcides Fern?ndez Airport,50,SA,CO,CO-CHO,Acand?,SKAD,ACD,SKAD,ACD,"8.497847, -77.274106"
SKAG,small_airport,Hacaritama Airport,545,NA,CO,CO-CES,Aguachica,SKAG,HAY,SKAG,AGH,"8.247, -73.5814"
SKAM,small_airport,Amalfi Airport,5507,SA,CO,CO-ANT,Amalfi,SKAM,AFI,SKAM,AFI,"6.895033, -75.047334"
SKAP,medium_airport,Gomez Nino Apiay Air Base,1207,SA,CO,CO-MET,Apiay,SKAP,API,SKAP,APY,"4.07607, -73.5627"
SKAR,medium_airport,El Eden Airport,3990,SA,CO,CO-QUI,Armenia,SKAR,AXM,SKAR,AXM,"4.45278, -75.7664"
SKAS,medium_airport,Tres De Mayo Airport,815,SA,CO,CO-PUT,Puerto As?s,SKAS,PUU,SKAS,PUU,"0.505228, -76.5008"
SKAT,small_airport,El Troncal Airport,512,SA,CO,CO-ARA,Arauquita,SKAT,ARQ,SKAT,ARQ,"7.02106, -71.388901"
SKBC,medium_airport,Las Flores Airport,111,SA,CO,CO-MAG,El Banco,SKBC,ELB,SKBC,ELB,"9.04554, -73.9749"
SKBG,medium_airport,Palonegro Airport,3897,SA,CO,CO-SAN,Bucaramanga,SKBG,BGA,SKBG,BGA,"7.1265, -73.1848"
SKBM,small_airport,Barranco Minas Airport,430,SA,CO,CO-GUA,Barranco Minas,SKBM,NBB,SKBM,,"3.490691, -69.808151"
SKBO,large_airport,El Dorado International Airport,8361,SA,CO,CO-DC,Bogota,SKBO,BOG,SKBO,BOG,"4.70159, -74.1469"
SKBQ,medium_airport,Ernesto Cortissoz International Airport,98,SA,CO,CO-ATL,Barranquilla,SKBQ,BAQ,SKBQ,BAQ,"10.8896, -74.7808"
SKBS,medium_airport,Jos? Celestino Mutis Airport,80,SA,CO,CO-CHO,Bah?a Solano,SKBS,BSC,SKBS,BSC,"6.20292, -77.3947"
SKBU,medium_airport,Gerardo Tobar L?pez Airport,48,SA,CO,CO-VAC,Buenaventura,SKBU,BUN,SKBU,BUN,"3.81963, -76.9898"
SKCA,small_airport,Capurgan? Airport,49,SA,CO,CO-CHO,Acand?,SKCA,CPB,SKCA,CPB,"8.632169, -77.350262"
SKCC,medium_airport,Camilo Daza International Airport,1096,SA,CO,CO-NSA,C?cuta,SKCC,CUC,SKCC,CUC,"7.92757, -72.5115"
SKCD,small_airport,Mandinga Airport,213,SA,CO,CO-CHO,Condoto,SKCD,COG,SKCD,COG,"5.072007, -76.676373"
